FACCODE,FACNAME,NOYEAR,STUDYPROGRAM,TOT_1,GRAD9,GRAD1,GRAD2,GRAD3,TOT_2,S_TOT2,RESIGN,S_RESIGN,DISMISSAL,S_DIS,RETIRE,S_TIRE,DIED,S_DIED,TOT_3,S_TOT3,STUDENT,S_STUDENT
21,คณะวิศวกรรมศาสตร์,4,I,127,,27,26,56,0,0,10,0,2,0,2,0,,0,0,0,4,0
21,คณะวิศวกรรมศาสตร์,4,S,774,,96,174,384,0,0,65,0,8,0,6,0,1,0,0,0,39,0
22,คณะอักษรศาสตร์,4,I,79,,8,25,37,0,0,1,0,1,0,1,0,,0,0,0,6,0
22,คณะอักษรศาสตร์,4,S,310,,53,102,97,0,0,12,0,3,0,,0,,0,0,0,43,0
23,คณะวิทยาศาสตร์,4,I,37,,6,5,18,0,0,4,0,,0,1,0,,0,0,0,3,0
23,คณะวิทยาศาสตร์,4,S,821,,50,104,363,0,0,203,0,20,0,41,0,,0,0,0,40,0
24,คณะรัฐศาสตร์,4,S,293,,35,105,122,0,0,19,0,,0,2,0,,0,0,0,10,0
25,คณะสถาปัตยกรรมศาสตร์,4,I,125,,18,20,66,0,0,5,0,4,0,3,0,1,0,0,0,8,0
25,คณะสถาปัตยกรรมศาสตร์,4,S,38,,3,15,10,0,0,6,0,,0,,0,,0,0,0,4,0
26,คณะพาณิชยศาสตร์และการบัญชี,4,I,156,,38,37,60,0,0,10,0,,0,4,0,,0,0,0,7,0
26,คณะพาณิชยศาสตร์และการบัญชี,4,S,560,,103,185,223,0,0,30,0,5,0,3,0,,0,0,0,11,0
28,คณะนิเทศศาสตร์,4,I,103,,20,29,49,0,0,2,0,1,0,,0,,0,0,0,2,0
28,คณะนิเทศศาสตร์,4,S,162,,25,59,67,0,0,5,0,2,0,1,0,,0,0,0,3,0
29,คณะเศรษฐศาสตร์,4,I,123,,21,34,58,0,0,3,0,1,0,1,0,,0,0,0,5,0
29,คณะเศรษฐศาสตร์,4,S,159,,31,52,52,0,0,12,0,3,0,,0,,0,0,0,9,0
34,คณะนิติศาสตร์,3,S,112,,,,3,0,0,2,0,15,0,6,0,,0,0,0,3,0
34,คณะนิติศาสตร์,4,S,279,,37,102,112,0,0,9,0,5,0,1,0,,0,0,0,13,0
35,คณะศิลปกรรมศาสตร์,4,S,125,,21,46,35,0,0,6,0,2,0,,0,,0,0,0,15,0
37,คณะสหเวชศาสตร์,4,S,242,,12,67,92,0,0,62,0,1,0,2,0,,0,0,0,6,0
38,คณะจิตวิทยา,4,I,21,,5,8,4,0,0,2,0,2,0,,0,,0,0,0,,0
38,คณะจิตวิทยา,4,S,93,,25,37,18,0,0,9,0,,0,1,0,,0,0,0,3,0
39,คณะวิทยาศาสตร์การกีฬา,4,S,132,,6,24,76,0,0,6,0,2,0,5,0,,0,0,0,13,0
40,สำนักวิชาทรัพยากรการเกษตร,4,S,50,,7,16,23,0,0,3,0,1,0,,0,,0,0,0,,0